0.0,8.5,6.5,1.571,0.0,-0.0,-0.0,3.0,-1.0,-1.0
0.02,8.5,6.5,1.572,-0.02,0.01,0.125,0.0,-1.0,-1.0
0.04,8.499,6.5,1.576,-0.039,0.021,0.252,0.0,-1.0,-1.0
0.06,8.498,6.501,1.582,-0.059,0.031,0.378,0.0,-1.0,-1.0
0.08,8.497,6.502,1.591,-0.079,0.04,0.502,0.0,-1.0,-1.0
0.1,8.495,6.502,1.602,-0.098,0.048,0.623,0.0,-1.0,-1.0
0.12,8.493,6.503,1.615,-0.118,0.055,0.742,0.0,-1.0,-1.0
0.14,8.49,6.505,1.631,-0.138,0.062,0.863,0.0,-1.0,-1.0
0.16,8.487,6.506,1.65,-0.157,0.069,0.983,0.0,-1.0,-1.0
0.18,8.484,6.507,1.671,-0.177,0.076,1.102,0.0,-1.0,-1.0
0.2,8.48,6.509,1.694,-0.197,0.08,1.217,0.0,-1.0,-1.0
0.22,8.476,6.51,1.719,-0.216,0.082,1.328,0.0,-1.0,-1.0
0.24,8.472,6.512,1.747,-0.235,0.086,1.441,0.0,-1.0,-1.0
0.26,8.467,6.514,1.776,-0.255,0.089,1.554,0.0,-1.0,-1.0
0.28,8.462,6.515,1.808,-0.274,0.092,1.666,0.0,-1.0,-1.0
0.3,8.456,6.517,1.843,-0.294,0.092,1.773,0.0,-1.0,-1.0
0.32,8.45,6.519,1.879,-0.313,0.089,1.875,0.0,-1.0,-1.0
0.339,8.443,6.521,1.917,-0.333,0.086,1.978,0.0,-1.0,-1.0
0.359,8.436,6.522,1.958,-0.352,0.085,2.083,0.0,-1.0,-1.0
0.379,8.429,6.524,2.0,-0.371,0.083,2.186,0.0,-1.0,-1.0
0.399,8.422,6.525,2.044,-0.391,0.077,2.283,0.0,-1.0,-1.0
0.419,8.414,6.527,2.091,-0.412,0.066,2.37,0.0,-1.0,-1.0
0.439,8.405,6.528,2.139,-0.434,0.054,2.457,0.0,-1.0,-1.0
0.459,8.396,6.529,2.189,-0.455,0.046,2.549,0.0,-1.0,-1.0
0.479,8.387,6.529,2.24,-0.477,0.036,2.638,0.0,-1.0,-1.0
0.499,8.377,6.53,2.293,-0.498,0.021,2.719,0.0,-1.0,-1.0
0.519,8.367,6.53,2.348,-0.52,-0.002,2.783,0.0,-1.0,-1.0
0.539,8.356,6.529,2.404,-0.542,-0.032,2.836,0.0,-1.0,-1.0
0.559,8.345,6.528,2.461,-0.566,-0.058,2.895,0.0,-1.0,-1.0
0.579,8.334,6.527,2.519,-0.589,-0.085,2.953,0.0,-1.0,-1.0
0.599,8.322,6.524,2.578,-0.611,-0.116,3.004,0.0,-1.0,-1.0
0.619,8.31,6.522,2.638,-0.631,-0.154,3.04,0.0,-1.0,-1.0
0.639,8.297,6.518,2.699,-0.647,-0.202,3.059,0.0,-1.0,-1.0
