0.0,8.5,6.5,1.571,0.0,-0.0,-0.0,3.0,-1.0,-1.0
0.02,8.499,6.5,1.572,-0.086,0.048,0.107,0.0,-1.0,-1.0
0.04,8.497,6.502,1.575,-0.172,0.096,0.213,0.0,-1.0,-1.0
0.06,8.492,6.504,1.58,-0.257,0.144,0.32,0.0,-1.0,-1.0
0.08,8.486,6.508,1.588,-0.343,0.193,0.426,0.0,-1.0,-1.0
0.1,8.479,6.512,1.597,-0.429,0.241,0.531,0.0,-1.0,-1.0
0.12,8.469,6.517,1.609,-0.513,0.291,0.636,0.0,-1.0,-1.0
0.14,8.458,6.524,1.623,-0.597,0.342,0.741,0.0,-1.0,-1.0
0.16,8.446,6.531,1.639,-0.677,0.395,0.847,0.0,-1.0,-1.0
0.179,8.431,6.539,1.656,-0.755,0.451,0.953,0.0,-1.0,-1.0
0.199,8.416,6.549,1.677,-0.827,0.511,1.063,0.0,-1.0,-1.0
0.219,8.398,6.56,1.699,-0.894,0.574,1.176,0.0,-1.0,-1.0
0.239,8.38,6.572,1.724,-0.956,0.641,1.292,0.0,-1.0,-1.0
0.259,8.36,6.585,1.751,-1.013,0.71,1.414,0.0,-1.0,-1.0
0.279,8.34,6.6,1.78,-1.068,0.781,1.54,0.0,-1.0,-1.0
0.299,8.318,6.617,1.812,-1.119,0.852,1.674,0.0,-1.0,-1.0
0.319,8.295,6.634,1.847,-1.17,0.923,1.81,0.0,-1.0,-1.0
0.339,8.271,6.653,1.884,-1.219,0.993,1.956,0.0,-1.0,-1.0
0.359,8.246,6.674,1.925,-1.267,1.062,2.104,0.0,-1.0,-1.0
0.379,8.221,6.696,1.968,-1.305,1.118,2.253,0.0,-1.0,-1.0
0.399,8.195,6.718,2.015,-1.336,1.166,2.4,0.0,-1.0,-1.0
0.419,8.168,6.742,2.064,-1.351,1.195,2.543,0.0,-1.0,-1.0
0.439,8.141,6.766,2.116,-1.358,1.206,2.68,0.0,-1.0,-1.0
0.459,8.114,6.789,2.171,-1.352,1.202,2.812,0.0,-1.0,-1.0
0.479,8.087,6.813,2.228,-1.347,1.179,2.941,0.0,-1.0,-1.0
0.498,8.06,6.836,2.288,-1.34,1.148,3.067,0.0,-1.0,-1.0
0.518,8.033,6.859,2.35,-1.344,1.1,3.192,0.0,-1.0,-1.0
0.538,8.006,6.88,2.415,-1.351,1.048,3.318,0.0,-1.0,-1.0
0.558,7.979,6.9,2.482,-1.362,0.978,3.438,0.0,-1.0,-1.0
0.578,7.952,6.919,2.552,-1.371,0.903,3.555,0.0,-1.0,-1.0
0.598,7.925,6.936,2.624,-1.373,0.813,3.664,0.0,-1.0,-1.0
0.618,7.898,6.951,2.698,-1.372,0.719,3.768,0.0,-1.0,-1.0
0.638,7.87,6.965,2.774,-1.365,0.621,3.866,0.0,-1.0,-1.0
