0.0,2.4,2.5,3.142,-0.0,-0.0,0.0,7.0,-1.0,-1.0
0.02,2.4,2.5,3.142,0.001,0.029,-0.006,0.0,-1.0,-1.0
0.04,2.4,2.501,3.141,0.003,0.058,-0.013,0.0,-1.0,-1.0
0.06,2.4,2.503,3.141,0.005,0.088,-0.019,0.0,-1.0,-1.0
0.08,2.4,2.505,3.141,0.006,0.117,-0.025,0.0,-1.0,-1.0
0.1,2.4,2.507,3.14,0.008,0.147,-0.032,0.0,-1.0,-1.0
0.12,2.401,2.51,3.139,0.01,0.177,-0.038,0.0,-1.0,-1.0
0.14,2.401,2.514,3.139,0.012,0.206,-0.044,0.0,-1.0,-1.0
0.16,2.401,2.518,3.138,0.013,0.235,-0.051,0.0,-1.0,-1.0
0.18,2.401,2.523,3.137,0.015,0.265,-0.057,0.0,-1.0,-1.0
0.2,2.401,2.529,3.135,0.016,0.293,-0.063,0.0,-1.0,-1.0
0.22,2.402,2.535,3.134,0.017,0.322,-0.069,0.0,-1.0,-1.0
0.24,2.402,2.542,3.133,0.018,0.35,-0.076,0.0,-1.0,-1.0
0.26,2.402,2.549,3.131,0.019,0.377,-0.082,0.0,-1.0,-1.0
0.28,2.403,2.557,3.129,0.02,0.404,-0.088,0.0,-1.0,-1.0
0.3,2.403,2.565,3.128,0.02,0.431,-0.094,0.0,-1.0,-1.0
0.32,2.404,2.574,3.126,0.021,0.458,-0.1,0.0,-1.0,-1.0
0.34,2.404,2.583,3.124,0.021,0.485,-0.106,0.0,-1.0,-1.0
0.36,2.404,2.593,3.121,0.022,0.512,-0.112,0.0,-1.0,-1.0
0.38,2.405,2.604,3.119,0.023,0.54,-0.118,0.0,-1.0,-1.0
0.4,2.405,2.615,3.117,0.024,0.567,-0.124,0.0,-1.0,-1.0
0.42,2.406,2.626,3.114,0.025,0.595,-0.13,0.0,-1.0,-1.0
0.44,2.406,2.638,3.111,0.026,0.622,-0.136,0.0,-1.0,-1.0
0.46,2.407,2.651,3.109,0.026,0.649,-0.142,0.0,-1.0,-1.0
0.48,2.407,2.664,3.106,0.026,0.675,-0.148,0.0,-1.0,-1.0
0.5,2.407,2.677,3.103,0.027,0.701,-0.154,0.0,-1.0,-1.0
0.52,2.408,2.692,3.1,0.026,0.727,-0.16,0.0,-1.0,-1.0
0.54,2.408,2.706,3.096,0.026,0.751,-0.166,0.0,-1.0,-1.0
0.56,2.409,2.722,3.093,0.025,0.775,-0.172,0.0,-1.0,-1.0
0.58,2.409,2.737,3.09,0.024,0.799,-0.177,0.0,-1.0,-1.0
0.6,2.41,2.753,3.086,0.023,0.823,-0.183,0.0,-1.0,-1.0
0.62,2.41,2.77,3.082,0.023,0.848,-0.189,0.0,-1.0,-1.0
0.64,2.411,2.787,3.078,0.023,0.873,-0.195,0.0,-1.0,-1.0
0.66,2.411,2.805,3.074,0.022,0.898,-0.201,0.0,-1.0,-1.0
0.68,2.412,2.823,3.07,0.022,0.923,-0.206,0.0,-1.0,-1.0
0.7,2.412,2.842,3.066,0.022,0.947,-0.212,0.0,-1.0,-1.0
0.72,2.412,2.861,3.062,0.021,0.972,-0.218,0.0,-1.0,-1.0
0.74,2.413,2.88,3.058,0.02,0.996,-0.224,0.0,-1.0,-1.0
0.76,2.413,2.9,3.053,0.019,1.02,-0.229,0.0,-1.0,-1.0
0.78,2.413,2.921,3.048,0.018,1.043,-0.235,0.0,-1.0,-1.0
0.8,2.413,2.942,3.044,0.016,1.065,-0.241,0.0,-1.0,-1.0
