0.0,2.4,2.5,4.712,-0.0,-0.0,0.0,2.0,-1.0,-1.0
0.02,2.4,2.5,4.715,0.047,0.001,0.221,0.0,-1.0,-1.0
0.04,2.402,2.5,4.721,0.093,0.001,0.443,0.0,-1.0,-1.0
0.06,2.404,2.5,4.732,0.141,0.002,0.664,0.0,-1.0,-1.0
0.08,2.408,2.5,4.748,0.19,0.004,0.882,0.0,-1.0,-1.0
0.1,2.412,2.5,4.767,0.239,0.005,1.101,0.0,-1.0,-1.0
0.12,2.417,2.5,4.791,0.287,0.006,1.322,0.0,-1.0,-1.0
0.14,2.424,2.501,4.82,0.336,0.008,1.539,0.0,-1.0,-1.0
0.16,2.431,2.501,4.852,0.393,0.012,1.746,0.0,-1.0,-1.0
0.18,2.439,2.501,4.889,0.452,0.017,1.951,0.0,-1.0,-1.0
0.199,2.449,2.502,4.93,0.506,0.023,2.165,0.0,-1.0,-1.0
0.219,2.46,2.502,4.974,0.566,0.029,2.368,0.0,-1.0,-1.0
0.239,2.472,2.503,5.023,0.639,0.036,2.541,0.0,-1.0,-1.0
0.259,2.486,2.503,5.075,0.723,0.045,2.7,0.0,-1.0,-1.0
0.279,2.501,2.504,5.13,0.803,0.057,2.876,0.0,-1.0,-1.0
0.299,2.518,2.506,5.188,0.887,0.067,3.034,0.0,-1.0,-1.0
0.319,2.537,2.507,5.249,0.982,0.069,3.135,0.0,-1.0,-1.0
0.339,2.558,2.508,5.312,1.093,0.066,3.196,0.0,-1.0,-1.0
0.359,2.58,2.509,5.376,1.213,0.064,3.28,0.0,-1.0,-1.0
0.379,2.605,2.511,5.44,1.325,0.061,3.341,0.0,-1.0,-1.0
0.399,2.632,2.512,5.506,1.415,0.053,3.333,0.0,-1.0,-1.0
0.419,2.661,2.513,5.571,1.479,0.04,3.255,0.0,-1.0,-1.0
0.439,2.691,2.513,5.635,1.539,0.026,3.186,0.0,-1.0,-1.0
0.459,2.723,2.514,5.697,1.601,0.013,3.108,0.0,-1.0,-1.0
0.479,2.755,2.514,5.758,1.669,0.002,2.995,0.0,-1.0,-1.0
0.499,2.789,2.514,5.816,1.744,-0.008,2.841,0.0,-1.0,-1.0
0.519,2.825,2.514,5.871,1.819,-0.019,2.688,0.0,-1.0,-1.0
0.539,2.862,2.513,5.923,1.895,-0.029,2.533,0.0,-1.0,-1.0
0.559,2.901,2.513,5.972,1.97,-0.037,2.372,0.0,-1.0,-1.0
0.578,2.941,2.512,6.017,2.045,-0.042,2.205,0.0,-1.0,-1.0
0.598,2.982,2.511,6.059,2.122,-0.048,2.04,0.0,-1.0,-1.0
0.618,3.025,2.51,6.098,2.198,-0.054,1.874,0.0,-1.0,-1.0
0.638,3.07,2.509,6.134,2.271,-0.057,1.7,0.0,-1.0,-1.0
0.658,3.116,2.508,6.166,2.34,-0.057,1.517,0.0,-1.0,-1.0
0.678,3.163,2.507,6.194,2.413,-0.057,1.339,0.0,-1.0,-1.0
0.698,3.212,2.505,6.219,2.484,-0.057,1.158,0.0,-1.0,-1.0
0.718,3.262,2.504,6.24,2.547,-0.056,0.964,0.0,-1.0,-1.0
0.738,3.313,2.503,6.257,2.603,-0.054,0.738,0.0,-1.0,-1.0
0.758,3.365,2.502,6.27,2.666,-0.056,0.459,0.0,-1.0,-1.0
0.778,3.419,2.501,6.278,2.726,-0.056,0.197,0.0,-1.0,-1.0
0.798,3.473,2.5,6.283,2.769,-0.049,0.029,0.0,-1.0,-1.0
0.818,3.529,2.5,6.283,2.784,-0.03,0.004,0.0,-1.0,-1.0
0.838,3.584,2.499,6.283,2.799,-0.001,0.0,0.0,-1.0,-1.0
0.858,3.64,2.499,6.283,2.813,0.028,-0.003,0.0,-1.0,-1.0
0.878,3.696,2.499,6.283,2.824,0.046,-0.005,0.0,-1.0,-1.0
0.898,3.752,2.5,6.283,2.828,0.042,-0.005,0.0,-1.0,-1.0
0.918,3.809,2.501,6.283,2.828,0.016,-0.002,0.0,-1.0,-1.0
0.938,3.865,2.501,6.283,2.828,-0.014,0.002,0.0,-1.0,-1.0
0.957,3.922,2.501,6.283,2.828,-0.039,0.005,0.0,-1.0,-1.0
0.977,3.978,2.5,6.283,2.828,-0.047,0.006,0.0,-1.0,-1.0
0.997,4.034,2.5,6.283,2.828,-0.03,0.004,0.0,-1.0,-1.0
1.017,4.091,2.499,6.283,2.828,-0.001,0.0,0.0,-1.0,-1.0
1.037,4.147,2.499,6.283,2.828,0.028,-0.003,0.0,-1.0,-1.0
1.057,4.204,2.499,6.283,2.828,0.046,-0.005,0.0,-1.0,-1.0
1.077,4.26,2.5,6.283,2.828,0.042,-0.005,0.0,-1.0,-1.0
1.097,4.317,2.501,6.283,2.828,0.016,-0.002,0.0,-1.0,-1.0
1.117,4.373,2.501,6.283,2.828,-0.014,0.002,0.0,-1.0,-1.0
1.137,4.429,2.501,6.283,2.828,-0.039,0.005,0.0,-1.0,-1.0
1.157,4.486,2.5,6.283,2.828,-0.047,0.006,0.0,-1.0,-1.0
1.177,4.542,2.5,6.283,2.828,-0.03,0.004,0.0,-1.0,-1.0
1.197,4.599,2.499,6.283,2.828,-0.001,0.0,0.0,-1.0,-1.0
1.217,4.655,2.499,6.283,2.828,0.028,-0.003,0.0,-1.0,-1.0
1.237,4.711,2.499,6.283,2.828,0.046,-0.005,0.0,-1.0,-1.0
1.257,4.768,2.5,6.283,2.828,0.042,-0.005,0.0,-1.0,-1.0
1.277,4.824,2.501,6.283,2.828,0.016,-0.002,0.0,-1.0,-1.0
1.297,4.881,2.501,6.283,2.828,-0.015,0.002,0.0,-1.0,-1.0
1.317,4.937,2.501,6.283,2.828,-0.039,0.005,0.0,-1.0,-1.0
1.336,4.993,2.5,6.283,2.828,-0.047,0.006,0.0,-1.0,-1.0
